Open,Close,High,Low,Volume,Time
1200.73,1191.57,1200.9,1191.45,,2005-06-24
1191.57,1190.6899,1194.33,1188.3001,,2005-06-27
1190.6899,1201.57,1202.54,1190.6899,,2005-06-28
1201.57,1199.85,1204.07,1198.7,,2005-06-29
1199.85,1191.33,1203.27,1190.51,,2005-06-30
1191.33,1194.4399,1197.89,1191.33,,2005-07-01
1194.4399,1204.99,1206.34,1192.49,,2005-07-05
1204.99,1194.9399,1206.11,1194.78,,2005-07-06
1194.9399,1197.87,1198.46,1183.5501,,2005-07-07
1197.87,1211.86,1212.73,1197.2,,2005-07-08
1211.86,1219.4399,1220.03,1211.86,,2005-07-11
1219.4399,1222.21,1225.54,1216.6,,2005-07-12
1222.21,1223.29,1224.46,1219.64,,2005-07-13
1223.29,1226.5,1233.16,1223.29,,2005-07-14
1226.5,1227.92,1229.53,1223.5,,2005-07-15
1227.92,1221.13,1227.92,1221.13,,2005-07-18
1221.13,1229.35,1230.34,1221.13,,2005-07-19
1229.35,1235.2,1236.5601,1222.91,,2005-07-20
1235.2,1227.04,1235.83,1224.7,,2005-07-21
1227.04,1233.6801,1234.1899,1226.15,,2005-07-22
1233.6801,1229.03,1238.36,1228.15,,2005-07-25
1229.03,1231.16,1234.42,1229.03,,2005-07-26
1231.16,1236.79,1237.64,1230.15,,2005-07-27
1236.79,1243.72,1245.15,1235.8101,,2005-07-28
1243.72,1234.1801,1245.04,1234.1801,,2005-07-29
1234.1801,1235.35,1239.1,1233.8001,,2005-08-01
1235.35,1244.12,1244.6899,1235.35,,2005-08-02
1244.12,1245.04,1245.86,1240.57,,2005-08-03
1245.04,1235.86,1245.04,1235.15,,2005-08-04
1235.86,1226.42,1235.86,1225.62,,2005-08-05
1226.42,1223.13,1232.28,1222.67,,2005-08-08
1223.13,1231.38,1234.11,1223.13,,2005-08-09
1231.38,1229.13,1242.6899,1226.58,,2005-08-10
1229.13,1237.8101,1237.8101,1228.33,,2005-08-11
1237.8101,1230.39,1237.8101,1225.87,,2005-08-12
1230.4,1233.87,1236.24,1226.2,,2005-08-15
1233.87,1219.34,1233.87,1219.0501,,2005-08-16
1219.34,1220.24,1225.63,1218.07,,2005-08-17
1220.24,1219.02,1222.64,1215.9301,,2005-08-18
1219.02,1219.71,1225.08,1219.02,,2005-08-19
1219.71,1221.73,1228.96,1216.47,,2005-08-22
1221.73,1217.59,1223.04,1214.4399,,2005-08-23
1217.57,1209.59,1224.15,1209.37,,2005-08-24
1209.59,1212.37,1213.73,1209.57,,2005-08-25
1212.4,1205.1,1212.4,1204.23,,2005-08-26
1205.1,1212.28,1214.28,1201.53,,2005-08-29
1212.28,1208.41,1212.28,1201.07,,2005-08-30
1208.41,1220.33,1220.36,1204.4,,2005-08-31
1220.33,1221.59,1227.29,1216.1801,,2005-09-01
1221.59,1218.02,1224.45,1217.75,,2005-09-02
1218.02,1233.39,1233.61,1218.02,,2005-09-06
1233.39,1236.36,1237.0601,1230.9301,,2005-09-07
1236.36,1231.67,1236.36,1229.51,,2005-09-08
1231.67,1241.48,1243.13,1231.67,,2005-09-09
1241.48,1240.5601,1242.6,1239.15,,2005-09-12
1240.57,1231.2,1240.57,1231.2,,2005-09-13
1231.2,1227.16,1234.74,1226.16,,2005-09-14
1227.16,1227.73,1231.88,1224.85,,2005-09-15
1228.42,1237.91,1237.95,1228.42,,2005-09-16
1237.91,1231.02,1237.91,1227.65,,2005-09-19
1231.02,1221.34,1236.49,1220.07,,2005-09-20
1221.34,1210.2,1221.52,1209.89,,2005-09-21
1210.2,1214.62,1216.64,1205.35,,2005-09-22
1214.62,1215.29,1218.83,1209.8001,,2005-09-23
1215.29,1215.63,1222.5601,1211.84,,2005-09-26
1215.63,1215.66,1220.17,1211.11,,2005-09-27
1215.66,1216.89,1220.98,1212.72,,2005-09-28
1216.89,1227.6801,1228.7,1211.54,,2005-09-29
1227.6801,1228.8101,1229.57,1225.22,,2005-09-30
1228.8101,1226.7,1233.34,1225.15,,2005-10-03
1226.7,1214.47,1229.88,1214.02,,2005-10-04
1214.47,1196.39,1214.47,1196.25,,2005-10-05
1196.39,1191.49,1202.14,1181.92,,2005-10-06
1191.49,1195.9,1199.71,1191.46,,2005-10-07
1195.9,1187.33,1196.52,1186.12,,2005-10-10
1187.33,1184.87,1193.1,1183.16,,2005-10-11
1184.87,1177.6801,1190.02,1173.65,,2005-10-12
1177.6801,1176.84,1179.5601,1168.2,,2005-10-13
1176.84,1186.57,1187.13,1175.4399,,2005-10-14
1186.57,1190.1,1191.21,1184.48,,2005-10-17
1190.1,1178.14,1190.1,1178.13,,2005-10-18
1178.14,1195.76,1195.76,1170.5501,,2005-10-19
1195.76,1177.8001,1197.3001,1173.3001,,2005-10-20
1177.8001,1179.59,1186.46,1174.92,,2005-10-21
1179.59,1199.38,1199.39,1179.59,,2005-10-24
1199.38,1196.54,1201.3001,1189.29,,2005-10-25
1196.54,1191.38,1204.01,1191.38,,2005-10-26
1191.38,1178.9,1192.65,1178.89,,2005-10-27
1178.9,1198.41,1198.41,1178.9,,2005-10-28
1198.41,1207.01,1211.4301,1198.41,,2005-10-31
1207.01,1202.76,1207.34,1201.66,,2005-11-01
1202.76,1214.76,1215.17,1201.07,,2005-11-02
1214.76,1219.9399,1224.7,1214.76,,2005-11-03
1219.9399,1220.14,1222.52,1214.45,,2005-11-04
1220.14,1222.8101,1224.1801,1217.29,,2005-11-07
1222.8101,1218.59,1222.8101,1216.08,,2005-11-08
1218.59,1220.65,1226.59,1216.53,,2005-11-09
1220.65,1230.96,1232.41,1215.0501,,2005-11-10
1230.96,1234.72,1235.7,1230.72,,2005-11-11
1234.72,1233.76,1237.2,1231.78,,2005-11-14
1233.76,1229.01,1237.9399,1226.41,,2005-11-15
1229.01,1231.21,1232.24,1227.1801,,2005-11-16
1231.21,1242.8001,1242.96,1231.21,,2005-11-17
1242.8001,1248.27,1249.58,1240.71,,2005-11-18
1248.27,1254.85,1255.89,1246.9,,2005-11-21
1254.85,1261.23,1261.9,1251.4,,2005-11-22
1261.23,1265.61,1270.64,1259.51,,2005-11-23
1265.61,1268.25,1268.78,1265.54,,2005-11-25
