Open,Close,High,Low,Adj_Close,Volume,Time
0.00,100.58,101.23,99.70,100.58,100.58,"Mar 19, 1976"
0.00,100.45,101.37,99.73,100.45,100.45,"Mar 18, 1976"
0.00,100.86,102.01,100.28,100.86,100.86,"Mar 17, 1976"
0.00,100.92,101.25,99.38,100.92,100.92,"Mar 16, 1976"
0.00,99.80,100.90,99.24,99.80,99.80,"Mar 15, 1976"
0.00,100.86,102.46,100.49,100.86,100.86,"Mar 12, 1976"
0.00,101.89,102.41,100.62,101.89,101.89,"Mar 11, 1976"
0.00,100.94,101.80,99.98,100.94,100.94,"Mar 10, 1976"
0.00,100.58,101.90,99.95,100.58,100.58,"Mar 09, 1976"
0.00,100.19,100.71,98.93,100.19,100.19,"Mar 08, 1976"
0.00,99.11,99.88,98.23,99.11,99.11,"Mar 05, 1976"
0.00,98.92,100.40,98.49,98.92,98.92,"Mar 04, 1976"
0.00,99.98,100.97,99.23,99.98,99.98,"Mar 03, 1976"
0.00,100.58,101.26,99.61,100.58,100.58,"Mar 02, 1976"
0.00,100.02,100.64,98.67,100.02,100.02,"Mar 01, 1976"
0.00,99.71,100.53,98.60,99.71,99.71,"Feb 27, 1976"
0.00,100.11,102.36,99.74,100.11,100.11,"Feb 26, 1976"
0.00,101.69,102.71,100.69,101.69,101.69,"Feb 25, 1976"
0.00,102.03,102.92,101.03,102.03,102.03,"Feb 24, 1976"
0.00,101.61,102.54,100.69,101.61,101.61,"Feb 23, 1976"
0.00,102.10,103.07,101.18,102.10,102.10,"Feb 20, 1976"
0.00,101.41,101.92,99.94,101.41,101.41,"Feb 19, 1976"
0.00,99.85,100.43,98.50,99.85,99.85,"Feb 18, 1976"
0.00,99.05,100.25,98.56,99.05,99.05,"Feb 17, 1976"
0.00,99.67,100.66,99.01,99.67,99.67,"Feb 13, 1976"
0.00,100.25,101.55,99.82,100.25,100.25,"Feb 12, 1976"
0.00,100.77,101.80,100.10,100.77,100.77,"Feb 11, 1976"
0.00,100.47,100.96,99.11,100.47,100.47,"Feb 10, 1976"
0.00,99.62,100.66,98.77,99.62,99.62,"Feb 09, 1976"
0.00,99.46,100.53,98.64,99.46,99.46,"Feb 06, 1976"
0.00,100.39,102.30,100.06,100.39,100.39,"Feb 05, 1976"
0.00,101.91,102.57,100.70,101.91,101.91,"Feb 04, 1976"
0.00,101.18,101.97,99.58,101.18,101.18,"Feb 03, 1976"
0.00,100.87,101.39,99.74,100.87,100.87,"Feb 02, 1976"
0.00,100.86,101.99,99.94,100.86,100.86,"Jan 30, 1976"
0.00,100.11,100.54,98.32,100.11,100.11,"Jan 29, 1976"
0.00,98.53,99.64,97.66,98.53,98.53,"Jan 28, 1976"
0.00,99.07,100.52,98.28,99.07,99.07,"Jan 27, 1976"
0.00,99.68,100.75,98.92,99.68,99.68,"Jan 26, 1976"
0.00,99.21,99.88,97.68,99.21,99.21,"Jan 23, 1976"
0.00,98.04,98.79,97.07,98.04,98.04,"Jan 22, 1976"
0.00,98.24,99.24,97.12,98.24,98.24,"Jan 21, 1976"
0.00,98.86,99.44,97.43,98.86,98.86,"Jan 20, 1976"
0.00,98.32,98.84,96.36,98.32,98.32,"Jan 19, 1976"
0.00,97.00,97.73,95.84,97.00,97.00,"Jan 16, 1976"
0.00,96.61,98.34,96.15,96.61,96.61,"Jan 15, 1976"
0.00,97.13,97.47,94.91,97.13,97.13,"Jan 14, 1976"
0.00,95.57,97.39,95.11,95.57,95.57,"Jan 13, 1976"
0.00,96.33,96.76,94.38,96.33,96.33,"Jan 12, 1976"
0.00,94.95,95.71,94.05,94.95,94.95,"Jan 09, 1976"
0.00,94.58,95.47,93.41,94.58,94.58,"Jan 08, 1976"
0.00,93.95,95.15,92.91,93.95,93.95,"Jan 07, 1976"
